name,fdc_id,category,tags,allergen_tags,calories_kcal,protein_g,carbs_g,fat_g,notes
Pechuga de pollo a la plancha,171477,proteina,proteina magra musculo fuerza,carne,165,31.0,0.0,3.6,Cocida sin piel. Base proteica versátil para almuerzo o cena.
Carne magra de res cocida,171795,proteina,proteina musculo fuerza hierro,carne res,217,26.0,0.0,12.0,Corte magro (90/10) cocido. Buena fuente de hierro y creatina.
Lomo de cerdo cocido,168254,proteina,proteina magra musculo,carne cerdo,143,26.0,0.0,3.5,Corte magro de cerdo asado al horno.
Salmón cocido,171999,proteina,proteina omega 3 grasa saludable,pescado,206,22.0,0.0,12.0,Rico en omega-3. Ideal 2 veces por semana.
Atún en lata al agua,334194,proteina,proteina magra musculo practico,pescado,116,26.0,0.0,1.0,Escurrido. Opción práctica y económica de proteína magra.
Tilapia cocida,175177,proteina,proteina magra bajo en calorias,pescado,128,26.0,0.0,2.7,Pescado blanco magro de sabor suave.
Camarones cocidos,175180,proteina,proteina magra bajo en calorias,marisco,99,24.0,0.2,0.3,Muy altos en proteína y muy bajos en grasa.
Huevo entero cocido,172186,proteina,proteina desayuno versatil,huevo,155,13.0,1.1,11.0,Proteína completa de alta biodisponibilidad.
Claras de huevo,172183,proteina,proteina magra bajo en calorias,huevo,52,11.0,0.7,0.2,Proteína casi pura para sumar volumen sin grasa.
Tofu firme,172475,proteina,proteina vegetal vegano musculo,soja,144,15.5,3.5,8.7,Proteína vegetal completa. Saltear o hornear.
Lentejas cocidas,172421,legumbre,proteina vegetal fibra carbohidrato complejo saciante,,116,9.0,20.0,0.4,Legumbre alta en fibra y proteína vegetal.
Garbanzos cocidos,173757,legumbre,proteina vegetal fibra carbohidrato complejo saciante,,164,8.9,27.4,2.6,Base de ensaladas y guisos. Alta saciedad.
Frijoles negros cocidos,173735,legumbre,proteina vegetal fibra carbohidrato complejo saciante,,132,8.9,23.7,0.5,Legumbre económica rica en fibra y antioxidantes.
